cex;nama_token;ticker;sc;decimals
BINANCE;StakeStone;STO;0x1d88713b483a8e45cff0e5cd7c2e15e5fab4534d;18
BINANCE;Bancor;BNT;0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c;18
BINANCE;Uniswap;UNI;0x1f9840a85d5af5bf1d1762f925bdaddc4201f984;18
BINANCE;ForTube;FOR;0x1fcdce58959f536621d76f5b7ffb955baa5a672f;18
BINANCE;Resolv;RESOLV;0x259338656198ec7a76c729514d3cb45dfbf768a1;18
BINANCE;Yield Guild Games;YGG;0x25f8087ead173b73d6e8b84329989a8eea16cf73;18
BINANCE;Cream Finance;CREAM;0x2ba592f78db6436527729929aaf6c908497cb200;18
BINANCE;Viberate;VIB;0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724;18
BINANCE;Space ID;ID;0x2dff88a56767223a5529ea5960da7a3f5f766406;18
BINANCE;Radworks;RAD;0x31c8eacbffdd875c74b94b077895bd78cf1e64a3;18
BINANCE;Reserve Rights;RSR;0x320623b8e4ff03373931769a31fc52a4e78b5d70;18
BINANCE;Adventure Gold;AGLD;0x32353a6c91143bfd6c7d363b546e62a9a2489a20;18
BINANCE;Pixels;PIXEL;0x3429d03c6f7521aec737a0bbf2e5ddcef2c3ae31;18
BINANCE;Frax Share;FXS;0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0;18
BINANCE;Badger DAO;BADGER;0x3472a5a71965499acd81997a54bba8d852c6e53d;18
BINANCE;Chiliz;CHZ;0x3506424f91fd33084466f402d5d97f05f8e3b4af;18
BINANCE;MANTRA;OM;0x3593d125a4f7849a1b059e64f4517a86dd60c95d;18
BINANCE;Omni Network;OMNI;0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4;18
BINANCE;The Sandbox;SAND;0x3845badade8e6dff049820680d1f14bd3903a5d0;18
BINANCE;PowerPool;CVP;0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1;18
BINANCE;Banana Gun;BANANA;0x38e68a37e401f7271568cecaac63c6b1e19130b4;18
BINANCE;XRP;XRP;0x39fbbabf11738317a448031930706cd3e612e1b9;18
BINANCE;DREP;DREP;0x3ab6ed69ef663bd986ee59205ccad8a20f98b4c2;18
BINANCE;Renzo;REZ;0x3b50805453023a91a8bf641e279401a0b23fa6f9;18
BINANCE;VIDT DAO;VIDT;0x3be7bf1a5f23bd8336787d0289b70602f1940875;18
BINANCE;Dego Finance;DEGO;0x3da932456d082cba208feb0b096d49b202bf89c8;18
BINANCE;Linear;LINA;0x3e9bc21c9b189c09df3ef1b824798658d5011937;18
BINANCE;Aavegotchi;GHST;0x3f382dbd960e3a9bbceae22651e88158d2791550;18
BINANCE;KernelDAO;KERNEL;0x3f80b1c54ae920be41a77f8b902259d48cf24ccf;18
BINANCE;Ren;REN;0x408e41876cccdc0f92210600ef50372656052a38;18
BINANCE;Loom Network;LOOM;0x42476f744292107e34519f9c357927074ea3f75d;18
BINANCE;Vulcan Forged PYR;PYR;0x430ef9263e76dae63c84292c3409d61c598e9682;18
BINANCE;dForce;DF;0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0;18
BINANCE;DODO;DODO;0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd;18
BINANCE;Across Protocol;ACX;0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f;18
BINANCE;Unifi Protocol DAO;UNFI;0x441761326490cacf7af299725b6292597ee822c2;18
BINANCE;Virtuals Protocol;VIRTUAL;0x44ff8620b8ca30902395a7bd3f2407e1a091bf73;18
BINANCE;Polygon Ecosystem Token;POL;0x455e53cbb86018ac2b8092fdcd39d8444affc3f6;18
BINANCE;Troy;TROY;0x4574562e9310a94f9ca962bd23168d8a06875b1a;18
BINANCE;Orchid;OXT;0x4575f41308ec1483f3d399aa9a2826d74da13deb;18
BINANCE;PAX Gold;PAXG;0x45804880de22913dafe09f4980848ece6ecbaf78;18
